,날짜,위치,남중고도,9시고도,12시고도,15시고도,18시고도,9시방위각,12시방위각,15시방위각,18시방위각
0,20160504,대구,70˚ 12´,41˚ 1´,69˚ 35´,49˚ 49´,13˚ 48´,100˚ 13´,164˚ 26´,250˚ 59´,280˚ 6´
0,20160505,대구,70˚ 29´,41˚ 11´,69˚ 52´,49˚ 59´,13˚ 57´,99˚ 55´,164˚ 18´,251˚ 21´,280˚ 22´
0,20160506,대구,70˚ 46´,41˚ 22´,70˚ 8´,50˚ 8´,14˚ 5´,99˚ 37´,164˚ 10´,251˚ 43´,280˚ 37´
0,20160507,대구,71˚ 3´,41˚ 31´,70˚ 25´,50˚ 17´,14˚ 14´,99˚ 19´,164˚ 1´,252˚ 5´,280˚ 51´
0,20160508,대구,71˚ 19´,41˚ 41´,70˚ 41´,50˚ 26´,14˚ 22´,99˚ 1´,163˚ 52´,252˚ 27´,281˚ 6´
0,20160509,대구,71˚ 35´,41˚ 50´,70˚ 57´,50˚ 35´,14˚ 30´,98˚ 44´,163˚ 43´,252˚ 48´,281˚ 20´
0,20160510,대구,71˚ 51´,41˚ 59´,71˚ 12´,50˚ 43´,14˚ 39´,98˚ 26´,163˚ 33´,253˚ 8´,281˚ 34´
0,20160511,대구,72˚ 6´,42˚ 8´,71˚ 27´,50˚ 52´,14˚ 47´,98˚ 9´,163˚ 22´,253˚ 28´,281˚ 47´
0,20160512,대구,72˚ 21´,42˚ 17´,71˚ 42´,51˚ 0´,14˚ 55´,97˚ 52´,163˚ 11´,253˚ 48´,282˚ 0´
0,20160513,대구,72˚ 36´,42˚ 25´,71˚ 56´,51˚ 9´,15˚ 3´,97˚ 35´,163˚ 0´,254˚ 8´,282˚ 13´
0,20160514,대구,72˚ 51´,42˚ 32´,72˚ 10´,51˚ 17´,15˚ 11´,97˚ 18´,162˚ 48´,254˚ 27´,282˚ 26´
0,20160515,대구,73˚ 5´,42˚ 40´,72˚ 24´,51˚ 25´,15˚ 19´,97˚ 2´,162˚ 36´,254˚ 45´,282˚ 38´
0,20160516,대구,73˚ 19´,42˚ 47´,72˚ 37´,51˚ 33´,15˚ 26´,96˚ 45´,162˚ 23´,255˚ 4´,282˚ 50´
0,20160517,대구,73˚ 32´,42˚ 54´,72˚ 50´,51˚ 41´,15˚ 34´,96˚ 29´,162˚ 10´,255˚ 21´,283˚ 1´
0,20160518,대구,73˚ 46´,43˚ 0´,73˚ 3´,51˚ 49´,15˚ 42´,96˚ 13´,161˚ 56´,255˚ 39´,283˚ 12´
0,20160519,대구,73˚ 58´,43˚ 6´,73˚ 15´,51˚ 56´,15˚ 49´,95˚ 58´,161˚ 42´,255˚ 55´,283˚ 23´
0,20160520,대구,74˚ 11´,43˚ 12´,73˚ 27´,52˚ 4´,15˚ 57´,95˚ 42´,161˚ 28´,256˚ 12´,283˚ 33´
0,20160521,대구,74˚ 23´,43˚ 18´,73˚ 39´,52˚ 11´,16˚ 4´,95˚ 27´,161˚ 13´,256˚ 28´,283˚ 44´
0,20160522,대구,74˚ 35´,43˚ 23´,73˚ 50´,52˚ 19´,16˚ 11´,95˚ 13´,160˚ 57´,256˚ 43´,283˚ 53´
0,20160523,대구,74˚ 47´,43˚ 28´,74˚ 0´,52˚ 26´,16˚ 19´,94˚ 58´,160˚ 42´,256˚ 58´,284˚ 3´
0,20160524,대구,74˚ 58´,43˚ 33´,74˚ 11´,52˚ 33´,16˚ 26´,94˚ 44´,160˚ 26´,257˚ 12´,284˚ 12´
0,20160525,대구,75˚ 9´,43˚ 37´,74˚ 21´,52˚ 40´,16˚ 33´,94˚ 30´,160˚ 9´,257˚ 26´,284˚ 20´
0,20160526,대구,75˚ 19´,43˚ 41´,74˚ 30´,52˚ 46´,16˚ 40´,94˚ 16´,159˚ 52´,257˚ 39´,284˚ 28´
0,20160527,대구,75˚ 29´,43˚ 44´,74˚ 39´,52˚ 53´,16˚ 46´,94˚ 3´,159˚ 35´,257˚ 52´,284˚ 36´
0,20160528,대구,75˚ 39´,43˚ 48´,74˚ 48´,52˚ 59´,16˚ 53´,93˚ 50´,159˚ 18´,258˚ 4´,284˚ 44´
0,20160529,대구,75˚ 48´,43˚ 51´,74˚ 56´,53˚ 6´,16˚ 59´,93˚ 38´,159˚ 0´,258˚ 16´,284˚ 51´
0,20160530,대구,75˚ 57´,43˚ 54´,75˚ 4´,53˚ 12´,17˚ 6´,93˚ 26´,158˚ 42´,258˚ 27´,284˚ 58´
